root,verb_forms,count_vf,frequency,romanized
बन,"बने,बनी,बनती,बना,बन,बनकर,बनते,बनता,बनने,बनवाया,बनना,बनीं,बनेगा,बनेगी,बनवाई,बनें,बनेंगी,बनवाये",18,463,bana
बनवा,"बनवाए,बनवाने,बनवाकर,बनवा",4,10,banavA
बना,"बनाया,बनाएगी,बनाई,बनाए,बनाता,बनाते,बनाने,बनाना,बनाये,बनायी,बनाती,बनायेंगे,बनाकर,बनाएं,बनानी,बनाएगा,बनाएंगे,बनायीं,बनाएंगी,बनाएँ",20,627,banA
बरगला,बरगला,1,1,baragalA
बरत,"बरतनी,बरतने,बरता,बरती,बरतते,बरते,बरतना,बरतें",8,38,barata
बरपा,"बरपाया,बरपाना",2,2,barapA
बरस,"बरसते,बरसा,बरसने",3,5,barasa
बरसा,"बरसाया,बरसाईं,बरसानी,बरसाए",4,5,barasA
बस,"बसी,बस,बसे,बसा",4,94,basa
बसा,"बसाया,बसाने",2,7,basA
बह,"बह,बहती,बहते,बहना,बहकर,बहने,बहता",7,25,baha
बहा,"बहाती,बहाने,बहाता,बहाकर",4,9,bahA
बाँट,"बाँटी,बाँट,बाँटने,बाँटा",4,3,bA.NTa
बाँध,"बाँधकर,बाँधने,बाँधे,बाँध",4,5,bA.Ndha
बांट,"बांट,बांटने,बांटा,बांटती,बांटे,बांटी",6,24,bAMTa
बांध,"बांधता,बांधकर,बांधा,बांध,बांधे,बांधना,बांधने",7,34,bAMdha
बिक,"बिकने,बिका,बिके,बिक,बिकते",5,8,bika
बिखर,"बिखरे,बिखरने,बिखरी",3,8,bikhara
बिखेर,"बिखेर,बिखेरकर,बिखेरने,बिखेरे,बिखेरती,बिखेरता,बिखेरते",7,4,bikhera
बिगड,"बिगड़,बिगड़ती,बिगड़ने,बिगड़ते,बिगड़नी,बिगड़ता,बिगड़,बिगड़ती",8,15,bigaDa
बिगाड,"बिगाड़,बिगाड़ा",2,6,bigADa
बिछ,"बिछा,बिछ,बिछी",3,4,biCha
बिछा,"बिछाकर,बिछाए,बिछाने,बिछाया,बिछाई",5,15,biChA
बिछुड,बिछुड़े,1,2,biChuDa
बिठा,"बिठाने,बिठाकर,बिठाया,बिठाना,बिठाए",5,8,biThA
बिता,"बिताता,बिताने,बिताना,बिता,बिताए,बिताया,बिताते",7,9,bitA
बिफर,बिफरे,1,1,biphara
बीज,बीजेंगे,1,4,bIja
बीजा,"बीजा,बीजे",2,3,bIjA
बीत,"बीते,बीत,बीती,बीतते,बीतने,बीता",6,31,bIta
बुझ,"बुझे,बुझती",2,1,bujha
बुझा,बुझाने,1,2,bujhA
बुन,"बुना,बुनी",2,2,buna
बुला,"बुलाई,बुलाए,बुलाया,बुलाकर,बुलाने,बुला,बुलाती,बुलाये,बुलाएं,बुलाना,बुलानी,बुलाते,बुलाओ",13,101,bulA
बेच,"बेचे,बेचा,बेच,बेचने,बेची,बेचेगा,बेचकर,बेचती,बेचनी",9,58,becha
बेल,"बेल,बेलते",2,4,bela
बैठ,"बैठ,बैठे,बैठते,बैठने,बैठा,बैठी,बैठकर,बैठती,बैठना,बैठेंगे,बैठिए,बैठो,बैठोगी,बैठता",14,91,baiTha
बैठा,"बैठाने,बैठाया,बैठाकर",3,12,baiThA
बो,"बोया,बोयी,बोना,बोने,बोयेंगे,बोई",6,4,bo
बोल,"बोलकर,बोलने,बोलते,बोला,बोलना,बोल,बोलता,बोलीं,बोले,बोलेंगे,बोलती,बोली,बोलूँ",13,124,bola
बौखला,बौखला,1,3,baukhalA
ब्याह,"ब्याहने,ब्याहना",2,36,byAha
बढ़,"बढ़कर,बढ़,बढ़ने,बढ़ना,बढ़ेगी,बढ़े,बढ़ेंगे,बढ़ें",8,142,baढ़
बढ़ा,"बढ़ाई,बढ़ाया,बढ़ाती,बढ़ाएगा,बढ़ाएंगे",5,125,baढ़A
बढ़ाएं,बढ़ाएं,1,1,baढ़AeM
भगा,"भगाने,भगा,भगाए,भगाकर",4,2,bhagA
भटक,"भटक,भटकते",2,5,bhaTaka
भटका,भटकाने,1,1,bhaTakA
भडक,"भड़कें,भड़कने,भड़की",3,6,bhaDaka
भडका,भड़काने,1,1,bhaDakA
भर,"भरी,भर,भरने,भरा,भरना,भरता,भरें,भरकर,भरे,भरनी,भरेंगे,भरते,भरती",13,103,bhara
भरा,"भराकर,भराया",2,4,bharA
भांज,"भांज,भांजकर",2,2,bhAMja
भांप,"भांप,भांपना",2,7,bhAMpa
भाग,"भाग,भागने,भागीं,भागकर,भागे,भागा,भागना,भागते,भागता,भागती",10,111,bhAga
भिजवा,"भिजवाए,भिजवा",2,2,bhijavA
भिड़,भिड़ना,1,1,bhi.Da
भीग,"भीगे,भीगने,भीगी,भीगा,भीग,भीगकर",6,2,bhIga
भीगो,भीगोकर,1,1,bhIgo
भुगत,"भुगतने,भुगतना,भुगतनी",3,4,bhugata
भुना,"भुनाने,भुनाएगी,भुनाना",3,5,bhunA
भुला,"भुलाने,भुलाया,भुलाकर,भुला",4,7,bhulA
भूल,"भूल,भूलें,भूले,भूलकर,भूलीं,भूलिएगा,भूलतीं,भूला,भूली,भूलिये,भूलते",11,35,bhUla
भेज,"भेजते,भेजने,भेज,भेजना,भेजा,भेजी,भेजे,भेजकर,भेजती,भेजेंगे,भेजेगा,भेजूंगी",12,263,bheja
भोग,"भोगा,भोगे,भोग,भोगने",4,12,bhoga
भड़क,"भड़क,भड़केगा,भड़की,भड़के",4,12,bha.Daka
भड़का,"भड़काया,भड़काने",2,3,bha.DakA
मंगवा,"मंगवाया,मंगवाए,मंगवाकर",3,3,maMgavA
मंगा,"मंगा,मंगाकर,मंगाने,मंगाए,मंगाई",5,7,maMgA
मंझे,मंजे,1,1,maMjhe
मंडरा,"मंडराने,मंडराते,मंडरा",3,4,maMDarA
मच,"मचा,मच,मची,मचे",4,17,macha
मचल,मचल,1,2,machala
मचा,"मचाया,मचाने,मचाएं,मचाई",4,6,machA
मढ,"मढ़ने,मढ़ने",2,2,maDha
मथ,मथ,1,1,matha
मनवा,मनवाते,1,1,manavA
मना,"मना,मनाने,मनाएंगे,मनाएगी,मनाया,मनाकर,मनाए,मनाएगीं,मनाएगा,मनाते,मनाएं",11,74,manA
मर,"मर,मरने,मरता,मरी,मरे,मरेंगे,मरती,मरवाने,मरते",9,60,mara
मल,मले,1,2,mala
माँग,"माँगता,माँगी,माँग,माँगे,माँगा,माँगने,माँगेगा,माँगें,माँगूगी,माँगना,माँगते",11,59,mA.Nga
मांग,"मांग,मांगे,मांगी,मांगने,मांगना,मांगा,मांगते,मांगनी,मांगती,मांगू,मांगो,मांगता,मांगेंगे,मांगेगी",14,308,mAMga
मान,"माना,मानी,मानते,मान,मानें,मानना,मानता,माने,मानकर,मानने,मानेंगे,मानती,माननी,मानो,मानेगा",15,375,mAna
माप,"मापे,मापा,मापकर,मापने,मापी",5,2,mApa
मार,"मार,मारे,मारने,मारा,मारी,मारकर,मारती,मारेंगे,मारता",9,298,mAra
मिट,मिट,1,4,miTa
मिटा,"मिटा,मिटाया,मिटाने,मिटाता",4,12,miTA
मिल,"मिले,मिला,मिलेंगे,मिलते,मिली,मिल,मिलने,मिलेगी,मिलता,मिलकर,मिलती,मिलेगा,मिलीं,मिलना,मिली.,मिलनी,मिलेंगी,मिलें,मिलवाया,मिलेगीं,मिलूंगी,मिलूं,मिलोगी",23,938,mila
मिला,"मिलाया,मिलाना,मिलाने,मिलाते,मिलाएं,मिलाइए,मिलाएँ,मिलाएगा,मिलाए",9,25,milA
मुकर,"मुकर,मुकरने",2,11,mukara
मुरझा,"मुरझाया,मुरझाये",2,2,murajhA
मुस्कुरा,"मुस्कुराना,मुस्कुरा",2,1,muskurA
मुड़,"मुड़,मुड़कर",2,2,mu.Da
मूंद,"मूंदे,मूंद",2,2,mUMda
मूंदकर,मूंदकर,1,1,mUMdakara
मोड,"मोड,मोड़ते",2,3,moDa
मोड़,"मोड़ी,मोड़",2,2,mo.Da
मोह,"मोह,मोहने",2,6,moha
मोड़,"मोड़ा,मोड़,मोड़ना",3,8,mo.Da
रंग,"रंगा,रंग,रंगे",3,19,raMga
रख,"रखते,रखे,रखती,रखेगी,रखा,रख,रखी,रखेगा,रखने,रखकर,रखना,रखेंगे,रखनी,रखता,रखें,रखीं,रखो,रखोगी,रखवाएगा,रखूंगा",20,532,rakha
रखवा,रखवा,1,1,rakhavA
रगड,रगड़ते,1,3,ragaDa
रच,"रच,रचे,रचने,रचते,रची,रचा",6,20,racha
रचा,रचाई,1,1,rachA
रटा,रटाई,1,1,raTA
रम,"रमने,रम",2,3,rama
रह,"रहा,रही,रहे,रहती,रहीं,रहेगा,रहेगी,रहेंगी,रह,रहते,रहता,रहेंगे,रहकर,रहने,रहनी,रहना,रहें,रहो,रहूंगी,रहूँगा,रहोगे,रहिए,रहूंगा",23,770,raha
रिझा,"रिझा,रिझाया",2,2,rijhA
रिस,"रिस,रिसने",2,2,risa
रुक,"रुकने,रुक,रुका,रुकी,रुकेगी,रुके,रुकती,रुकते,रुकेगा,रुकना",10,27,ruka
रुकवा,"रुकवाने,रुकवाई",2,2,rukavA
रूक,"रूकने,रूका",2,3,rUka
रूठ,"रूठा,रूठ",2,2,rUTha
रेंग,"रेंगते,रेंग",2,2,reMga
रेत,रेत,1,4,reta
रो,"रोया,रोये,रोते,रोने,रो,रोकर",6,19,ro
रोक,"रोक,रोकना,रोकने,रोका,रोकता,रोकते,रोकती,रोककर,रोके,रोकें,रोकेगा",11,203,roka
रोप,"रोपकर,रोपा",2,3,ropa
रौंद,रौंदने,1,2,rauMda
लग,"लग,लगी,लगा,लगता,लगे,लगने,लगती,लगना,लगेगा,लगनी,लगवाती,लगते,लगतीं,लगेगी,लगेंगे,लगीं,लगवाई,लगवाए",18,357,laga
लगवा,"लगवा,लगवाएं,लगवाएँ",3,1,lagavA
लगा,"लगाया,लगाए,लगाना,लगाने,लगाई,लगाते,लगाये,लगायी,लगाकर,लगाएं,लगाएगा,लगाएगी,लगानी,लगाती,लगाएंगी,लगाइएगा,लगाता,लगाएंगे,लगाइये,लगाएँगे,लगाईं",21,599,lagA
लटक,"लटक,लटकती,लटके,लटकाने,लटकते",5,7,laTaka
लटका,"लटकाकर,लटकाते",2,3,laTakA
लड,"लड़कर,लड़ने,लड़,लड़े,लड़ेगी,लड़ते,लड़ेगा,लड़ी",8,35,laDa
लड़,"लड़ने,लड़ते,लड़,लड़ता",4,4,la.Da
लतिया,लतिया,1,2,latiyA
लद,लदे,1,2,lada
लपक,"लपके,लपका,लपक",3,3,lapaka
लपेट,"लपेटी,लपेट,लपेटा,लपेटकर",4,6,lapeTa
ललकार,ललकारा,1,2,lalakAra
लहरा,"लहराया,लहराते,लहराएगा,लहराती",4,6,laharA
लहलहा,लहलहाती,1,1,lahalahA
ला,"लाने,ला,लाएगी,लाया,लाएगा,लाई,लाए,लाना,लाएं,लानी,लाकर,लाएंगे,लाते,लाती,लाये,लायीं,लाता,लाओ,लायी",19,171,lA
लाँघ,लाँघ,1,1,lA.Ngha
लांघ,"लांघने,लांघ,लांघी",3,2,lAMgha
लाद,"लादने,लादें,लादकर",3,1,lAda
लिख,"लिखा,लिखे,लिख,लिखी,लिखना,लिखते,लिखता,लिखें,लिखने,लिखकर,लिखवाई,लिखवा,लिखित,लिखनी,लिखती",15,135,likha
लिखवा,लिखवाया,1,2,likhavA
लिखा,"लिखाने,लिखाया",2,9,likhA
लिपट,"लिपटकर,लिपट,लिपटे,लिपटी",4,3,lipaTa
लील,लीलने,1,2,lIla
लुट,लुट,1,2,luTa
लुटा,"लुटाने,लुटा",2,3,luTA
लुढक,"लुढ़क,लुढ़ककर",2,6,luDhaka
लुभा,"लुभाएगा,लुभाएंगे,लुभाने,लुभाता,लुभा,लुभाती,लुभाते",7,13,lubhA
लुढ़कर,लुढ़कर,1,1,luढ़kara
लूट,"लूटने,लूटकर,लूट,लूटी,लूटे,लूटता",6,16,lUTa
ले,"लेकर,ले,लिया,लें,लेगी,लेंगे,लेते,लेगा,लेता,ली,लेने,लेना,लेनी,लिये,लिए,लेती,लीजिए,लो,लेंगें,लेंगी,लूँ,लीजिये",22,1244,le
लेट,"लेटी,लेटे",2,5,leTa
लेटा,लेटा,1,1,leTA
लोट,लोट,1,1,loTa
लौट,"लौटे,लौट,लौटता,लौटने,लौटते,लौटी,लौटना,लौटेंगे,लौटूंगी,लौटकर,लौटें,लौटेगी",12,84,lauTa
लौटा,"लौटाने,लौटाना,लौटा,लौटाया",4,8,lauTA
लड़,"लड़ा,लड़ेंगे,लड़ना,लड़नी,लड़ूंगी",5,22,la.Da
लड़खड़ा,लड़खड़ा,1,1,la.Dakha.DA
वसूल,"वसूलने,वसूल,वसूला",3,13,vasUla
वीन,वीनने,1,1,vIna
शरमा,शरमाते,1,1,sharamA
सँवर,"संवरकर,संवरीं",2,1,sa.Nvara
सँवार,"संवार,संवारने",2,5,sa.NvAra
संजो,"संजोए,संजोकर,संजोये,संजो",4,1,saMjo
संभल,"संभल,संभलकर,संभला",3,3,saMbhala
संभाल,"संभाल,संभालने,संभालते,संभालना,संभालेंगे,संभाले,संभालेंगीं,संभाला,संभालकर,संभाली,संभालेंगी,संभालता",12,35,saMbhAla
संवर,संवर,1,1,saMvara
सक,सकता,1,1,saka
सज,"सजा,सजी,सजने,सजे",4,10,saja
सजा,"सजाकर,सजाएं,सजाने,सजाइए,सजाया,सजाएंगे,सजाए",7,67,sajA
सट,"सटे,सटा,सटी,सटकर",4,14,saTa
सड,"सड़,सड़ते",2,2,saDa
सडा,सड़ायेंगे,1,1,saDA
सता,"सताई,सता,सताने,सताए",4,7,satA
सध,"सधे,सधी,सधा",3,2,sadha
सन,सना,1,3,sana
समझ,"समझना,समझने,समझा,समझते,समझता,समझ,समझी,समझकर,समझिए,समझो,समझे,समझती,समझें,समझेंगे",14,122,samajha
समझा,"समझाने,समझाया,समझाना,समझाते,समझाऊँ",5,17,samajhA
समा,"समाए,समाया,समा",3,6,samA
समेट,"समेटे,समेटने,समेट",3,4,sameTa
सरक,"सरका,सरकते,सरकने,सरकती",4,2,saraka
सरका,सरकाया,1,1,sarakA
सराह,सराहा,1,2,sarAha
सह,"सहने,सहेंगे,सहोगे",3,4,saha
सहम,सहम,1,1,sahama
सहला,सहलाते,1,2,sahalA
सहेज,सहेजने,1,1,saheja
साध,"साधा,साधते,साध,साधे,साधने",5,30,sAdha
सिखा,"सिखाई,सिखाया,सिखाना,सिखाने,सिखा,सिखायेगी,सिखाते",7,11,sikhA
सिधार,सिधार,1,1,sidhAra
सिमट,"सिमटती,सिमट",2,1,simaTa
सिल,सिले,1,2,sila
सिसक,सिसकते,1,1,sisaka
सिहर,सिहरा,1,1,sihara
सींच,"सींच,सींचती",2,2,sIMcha
सीख,"सीख,सीखते,सीखा,सीखने,सीखो,सीखे,सीखीं,सीखना",8,11,sIkha
सुखा,"सुखा,सुखाकर,सुखाने,सुखाए",4,1,sukhA
सुझा,"सुझाई,सुझाया,सुझाएगी,सुझाने,सुझाए",5,10,sujhA
सुधर,"सुधरने,सुधरता,सुधरी,सुधरे,सुधरेगी,सुधरेंगे,सुधर,सुधरते",8,13,sudhara
सुधार,"सुधारने,सुधारा,सुधारनी,सुधारना,सुधारते,सुधारें,सुधारी,सुधार",8,63,sudhAra
सुन,"सुन,सुना,सुनी,सुने,सुनने,सुननी,सुनें,सुनकर,सुनना,सुनेंगे,सुनते,सुनता,सुनिए,सुनो,सुनिएगा",15,86,suna
सुनवाना,सुनवाने,1,1,sunavAnA
सुना,"सुनाई,सुनाकर,सुनाने,सुनाया,सुनाएगी,सुनाए,सुनाते,सुनाना,सुनाएगा",9,41,sunA
सुलग,सुलग,1,3,sulaga
सुलगा,सुलगा,1,1,sulagA
सुलझ,"सुलझी,सुलझा,सुलझ,सुलझता,सुलझने",5,10,sulajha
सुलझा,"सुलझाने,सुलझाया,सुलझाए,सुलझाना,सुलझाई",5,33,sulajhA
सूंघ,"सूंघने,सूंघना,सूंघ",3,2,sUMgha
सूख,"सूख,सूखा,सूखे,सूखने,सूखी,सूखते",6,3,sUkha
सूज,"सूज,सूजे",2,1,sUja
सूझ,"सूझ,सूझता,सूझना",3,8,sUjha
सेंक,"सेंकने,सेंकती,सेंक",3,3,seMka
सेक,सेकते,1,1,seka
सो,"सोते,सोने,सो,सोए,सोता,सोयेगा,सोये",7,23,so
सोच,"सोची,सोचने,सोचे,सोचना,सोचें,सोचिए,सोचते,सोचिये,सोचा,सोच,सोचकर,सोचता,सोचती",13,58,socha
सौंप,"सौंप,सौंपा,सौंपने,सौंपी,सौंपना,सौंपे,सौंपेगी,सौंपेंगे,सौंपेगा,सौंपकर",10,144,sauMpa
सौप,सौपा,1,1,saupa
स्वीकार,स्वीकारते,1,98,svIkAra
सड़,सड़ने,1,1,sa.Da
हँस,हंसने,1,1,ha.Nsa
हंस,"हंसना,हंस",2,2,haMsa
हट,"हटते,हटकर,हट,हटेंगे,हटेगा,हटना,हटने,हटती,हटतीं,हटी,हटवाएं",11,26,haTa
हटा,"हटाता,हटाया,हटा,हटाने,हटाना,हटाई,हटाकर,हटाए,हटाते,हटाएंगे",10,124,haTA
हडप,"हड़पकर,हड़प,हड़पने",3,7,haDapa
हथिया,"हथियाने,हथिया,हथियाना",3,4,hathiyA
हरा,"हराने,हराकर,हरा,हराया,हराना,हराती",6,17,harA
हांक,हांके,1,1,hAMka
हार,"हारकर,हारने,हारे,हारी,हार,हारा,हारती,हारता",8,67,hAra
हिचक,"हिचकते,हिचक",2,3,hichaka
हिचकिचा,"हिचकिचा,हिचकिचाते",2,1,hichakichA
हिल,"हिल,हिलते,हिलने,हिला",4,16,hila
हिला,"हिलाएं,हिलाकर,हिलाते,हिलाने",4,7,hilA
है,"है,हैं,हूं,हूँ,हैँ",5,4942,hai
हो,"हुई,होने,हुआ,होते,होती,होकर,होतीं,होगी,होगा,होता,हुए,होना,होंगे,होनी,हों,हुये,हुईं,होनेवाला,होंगी,हुयी,होनेवाले,होनेवाली,हुए...,होगीं,होगे,होऊंगा",26,4472,ho
होप,होप,1,3,hopa
